,Year,Distance,Type,Stage,Temperature,Precipitation,Humidity,Wind Speed,Relative Wind Speed,Average_speed
115,1985,238.0,1,15.0,21.9,0.0,69.96,18.4,6.259183658225751,33.3100069979006
116,1985,247.0,1,16.0,21.0,0.0,83.18,22.3,9.504349325708922,37.8157693289104
117,1985,209.0,3,17.0,16.9,0.5,81.89,35.9,0.6191737269241162,30.0467233736672
118,1985,53.0,3,18.1,9.3,17.0,84.67,37.1,32.44847661450429,32.018795099849
119,1985,83.0,3,18.2,22.1,0.0,70.78,14.5,10.525749195190835,50.142641382782294
120,1985,203.0,1,19.0,19.8,0.3,77.88,22.2,11.598685448965115,35.591486874786895
121,1985,242.0,1,2.0,19.9,0.0,73.09,14.8,6.572682465392147,37.2929241042764
122,1985,225.0,1,20.0,18.5,1.0,85.52,25.9,23.93659663453911,38.22557810287871
123,1985,46.0,0,21.0,19.3,0.5,63.75,18.4,11.643111111111107,43.91408114558471
124,1985,196.0,1,22.0,15.8,3.3,70.88,23.5,16.19619124551129,37.4601826290083
125,1985,239.0,1,4.0,17.8,0.0,78.21,23.1,9.834961990632307,36.6034204033013
126,1985,224.0,1,5.0,19.5,0.0,69.48,23.4,2.339006428778612,34.691331469133104
127,1985,222.0,1,6.0,21.0,0.0,71.67,22.3,3.8740636066007292,34.1918370839394
128,1985,217.0,1,7.0,20.0,2.29,87.93,12.9,6.155408760353931,36.6640071338058
129,1985,75.0,0,8.0,19.3,3.0,89.45,18.1,8.640837912199357,47.4100087796313
130,1985,174.0,2,9.0,18.2,2.0,72.7,11.7,3.9232108703199904,41.1563731931669
131,1986,4.6,0,0.0,19.6,0.0,64.24,17.8,9.493333333333334,51.588785046729
132,1986,85.0,1,1.0,20.5,0.0,69.94,25.9,10.178681531677775,43.019822859552896
133,1986,183.0,1,10.0,20.3,0.0,58.08,25.9,1.5419499994229475,41.0825642304814
134,1986,258.3,1,11.0,20.7,0.0,63.73,22.2,0.6243820585001268,41.5867620751342
135,1986,217.5,3,12.0,20.1,0.0,70.1,16.6,5.810159902009655,35.920726672171796
136,1986,186.0,3,13.0,23.3,0.0,50.14,14.8,0.6983800772527392,30.440514615629397
